"","Metabolite","Estimate","SE","Pval","Method"
"113","XL.VLDL.P",-0.00262275412290839,0.0320523134403163,0.93478405019395,"Maximum likelihood"
"34","IDL.PL",-0.00213000455986921,0.0302142163317132,0.943798273946105,"Maximum likelihood"
"33","IDL.P",-0.00205003374800441,0.0312482813136737,0.947692556624493,"Maximum likelihood"
"1","AcAce",-0.00176560040403281,0.0313608147809975,0.95510316095134,"Maximum likelihood"
"47","L.LDL.P",0.0013668370530179,0.0312421214631328,0.96510383009624,"Maximum likelihood"
"107","XL.HDL.FC",0.0010625635146661,0.0302360437646545,0.971966287690617,"Maximum likelihood"
"35","IDL.TG",-0.000896669972315884,0.0313842730386827,0.977206997768092,"Maximum likelihood"
"100","TG.PG",-0.000964929433906523,0.0369795507867305,0.979182685506997,"Maximum likelihood"
"46","L.LDL.L",0.00080361621622834,0.0312071937765286,0.979455951104959,"Maximum likelihood"
"108","XL.HDL.L",0.000699240515982581,0.0313690995889396,0.98221603360147,"Maximum likelihood"
"116","XS.VLDL.P",-0.000589309093096087,0.0312119740317152,0.984936143699348,"Maximum likelihood"
"117","XS.VLDL.P",-0.000589309093096087,0.0312119740317152,0.984936143699348,"Maximum likelihood"
"67","M.LDL.C",-0.000359377343718969,0.0302557499470892,0.990522962010981,"Maximum likelihood"
